Term,Course,Question,Agree strongly,Agree,Agree Somewhat,Neutral,Disagree Somewhat,Disagree,Disagree Strongly,n,meanscore_prof,meanscore_univ
F19,113-02,1. Course has been a valuable educational experience,9,9,1,5,0,0,0,24,5.916666666666666,5.989999999999999
F19,113-02,2. Effectively Organized,12,8,1,2,1,0,0,24,6.166666666666666,5.92
F19,113-02,3. Environment Conducive to Learning,11,8,2,3,0,0,0,24,6.125000000000001,6.069999999999999
F19,113-02,5a. Fair Assessment of Student work,5,13,3,1,1,0,1,24,5.666666666666667,5.82
F19,113-02,5b. Timely Assessment of Student Work,8,12,1,2,1,0,0,24,6,5.77
F19,113-02,5c. Constructive Assessment of Student Work,5,8,4,6,1,0,0,24,5.416666666666666,5.91
F19,113-02,6a. Recommend Instructor to another student,11,6,4,2,1,0,0,24,6,5.9799999999999995
F19,113-02,6b. Recommend Course to another student,11,7,3,1,0,2,0,24,5.916666666666668,5.819999999999999
F19,113-02,6c. Instructor was an effective teacher,11,6,4,2,0,0,0,23,6.130434782608696,6.03
F19,213-02,1. Course has been a valuable educational experience,7,13,1,0,0,0,0,21,6.285714285714286,5.989999999999999
F19,213-02,2. Effectively Organized,11,8,1,0,0,0,0,20,6.5,5.92
F19,213-02,3. Environment Conducive to Learning,8,11,2,0,0,0,0,21,6.285714285714286,6.069999999999999
F19,213-02,5a. Fair Assessment of Student work,10,11,0,1,0,0,0,22,6.363636363636363,5.82
F19,213-02,5b. Timely Assessment of Student Work,11,11,0,0,0,0,0,22,6.5,5.77
F19,213-02,5c. Constructive Assessment of Student Work,8,12,2,0,0,0,0,22,6.2727272727272725,5.91
F19,213-02,6a. Recommend Instructor to another student,8,12,0,2,0,0,0,22,6.181818181818182,5.9799999999999995
F19,213-02,6b. Recommend Course to another student,7,10,4,0,1,0,0,22,6,5.819999999999999
F19,213-02,6c. Instructor was an effective teacher,11,10,0,0,1,0,0,22,6.363636363636363,6.03
F19,113-04,1. Course has been a valuable educational experience,5,12,8,0,0,2,0,27,5.592592592592593,5.989999999999999
F19,113-04,2. Effectively Organized,10,11,1,2,1,0,0,25,6.08,5.92
F19,113-04,3. Environment Conducive to Learning,9,5,10,2,0,0,0,26,5.8076923076923075,6.069999999999999
F19,113-04,5a. Fair Assessment of Student work,6,7,4,7,1,1,0,26,5.269230769230768,5.82
F19,113-04,5b. Timely Assessment of Student Work,6,16,4,1,0,0,0,27,5.999999999999999,5.77
F19,113-04,5c. Constructive Assessment of Student Work,5,8,6,6,1,0,0,26,5.384615384615385,5.91
F19,113-04,6a. Recommend Instructor to another student,8,7,4,3,2,0,2,26,5.3076923076923075,5.9799999999999995
F19,113-04,6b. Recommend Course to another student,6,9,4,4,1,3,0,27,5.222222222222221,5.819999999999999
F19,113-04,6c. Instructor was an effective teacher,9,10,3,2,2,1,0,27,5.703703703703703,6.03
S20,113-03,1. Course has been a valuable educational experience,9,4,1,1,0,0,0,15,6.4,5.989999999999999
S20,113-03,2. Effectively Organized,9,6,0,0,0,0,0,15,6.6,5.92
S20,113-03,3. Environment Conducive to Learning,7,6,2,0,0,0,0,15,6.333333333333333,6.069999999999999
S20,113-03,5a. Fair Assessment of Student work,7,5,1,1,1,0,0,15,6.066666666666666,5.82
S20,113-03,5b. Timely Assessment of Student Work,7,5,2,1,0,0,0,15,6.2,5.77
S20,113-03,5c. Constructive Assessment of Student Work,4,7,2,2,0,0,0,15,5.866666666666666,5.91
S20,113-03,6a. Recommend Instructor to another student,7,6,2,0,0,0,0,15,6.333333333333333,5.9799999999999995
S20,113-03,6b. Recommend Course to another student,5,5,1,1,0,1,0,13,5.846153846153847,5.819999999999999
S20,113-03,6c. Instructor was an effective teacher,7,5,2,0,0,0,0,14,6.357142857142857,6.03
S20,113-07,1. Course has been a valuable educational experience,1,8,2,0,1,0,0,12,5.666666666666666,5.989999999999999
S20,113-07,2. Effectively Organized,6,8,0,0,0,0,0,14,6.428571428571429,5.92
S20,113-07,3. Environment Conducive to Learning,6,5,3,0,0,0,0,14,6.2142857142857135,6.069999999999999
S20,113-07,5a. Fair Assessment of Student work,2,8,0,2,1,0,1,14,5.285714285714286,5.82
S20,113-07,5b. Timely Assessment of Student Work,5,7,0,1,0,0,1,14,5.857142857142857,5.77
S20,113-07,5c. Constructive Assessment of Student Work,3,5,2,1,0,0,3,14,4.857142857142857,5.91
S20,113-07,6a. Recommend Instructor to another student,6,5,1,1,0,0,1,14,5.857142857142856,5.9799999999999995
