major,year,n_majors,n_graduates
Biochemistry,2000,0,425
Biochemistry,2001,0,400
Biochemistry,2002,0,408
Biochemistry,2003,2,452
Biochemistry,2004,1,510
Biochemistry,2005,2,434
Biochemistry,2006,6,510
Biochemistry,2007,5,500
Biochemistry,2008,8,500
Biochemistry,2009,3,444
Biochemistry,2010,7,521
Biochemistry,2011,2,541
Biochemistry,2012,7,562
Biochemistry,2013,8,534
Biochemistry,2014,9,543
Biochemistry,2015,6,585
Biochemistry,2016,4,559
Biochemistry,2017,5,574
Biochemistry,2018,3,512
Biochemistry,2019,7,573
Biochemistry,2020,2,514
Biochemistry,2021,4,532
Biochemistry,2022,6,517
Biology,2000,57,425
Biology,2001,36,400
Biology,2002,36,408
Biology,2003,40,452
Biology,2004,36,510
Biology,2005,29,434
Biology,2006,43,510
Biology,2007,28,500
Biology,2008,41,500
Biology,2009,31,444
Biology,2010,34,521
Biology,2011,37,541
Biology,2012,50,562
Biology,2013,45,534
Biology,2014,46,543
Biology,2015,52,585
Biology,2016,46,559
Biology,2017,40,574
Biology,2018,36,512
Biology,2019,53,573
Biology,2020,37,514
Biology,2021,43,532
Biology,2022,40,517
Biology-Physics,2000,1,425
Biology-Physics,2001,1,400
Biology-Physics,2002,0,408
Biology-Physics,2003,1,452
Biology-Physics,2004,0,510
Biology-Physics,2005,1,434
Biology-Physics,2006,0,510
Biology-Physics,2007,0,500
Biology-Physics,2008,0,500
Biology-Physics,2009,0,444
Biology-Physics,2010,1,521
Biology-Physics,2011,0,541
Biology-Physics,2012,1,562
Biology-Physics,2013,0,534
Biology-Physics,2014,0,543
Biology-Physics,2015,1,585
Biology-Physics,2016,0,559
Biology-Physics,2017,0,574
Biology-Physics,2018,3,512
Biology-Physics,2019,0,573
Biology-Physics,2020,1,514
Biology-Physics,2021,2,532
Biology-Physics,2022,0,517
Chemistry,2000,3,425
Chemistry,2001,3,400
Chemistry,2002,5,408
Chemistry,2003,6,452
Chemistry,2004,6,510
Chemistry,2005,3,434
Chemistry,2006,3,510
Chemistry,2007,3,500
Chemistry,2008,6,500
Chemistry,2009,7,444
Chemistry,2010,12,521
Chemistry,2011,8,541
Chemistry,2012,4,562
Chemistry,2013,8,534
Chemistry,2014,11,543
Chemistry,2015,5,585
Chemistry,2016,6,559
Chemistry,2017,11,574
Chemistry,2018,12,512
Chemistry,2019,6,573
Chemistry,2020,10,514
Chemistry,2021,9,532
Chemistry,2022,4,517
Computer Science,2000,2,425
Computer Science,2001,2,400
Computer Science,2002,2,408
Computer Science,2003,3,452
Computer Science,2004,3,510
Computer Science,2005,3,434
Computer Science,2006,9,510
Computer Science,2007,10,500
Computer Science,2008,4,500
Computer Science,2009,8,444
Computer Science,2010,13,521
Computer Science,2011,5,541
Computer Science,2012,4,562
